Country,Country code,Cluster1990,Cluster2015,Flow_1990_2015,Transition_Types,AA,AB,BA,BB,BC,CB,CC,CD,DB,DC,DD,agriculture add(%gdp),CO2(ton),"Industry, value added (% of GDP)",population,unemployment rate,"Agriculture, value added (% of GDP)","Agriculture, value added (current US$)",Agriculture value added per worker (constant 2010 US$),"Industry, value added (% of GDP)","Industry, value added (current US$)",CO2 emissions (metric tons per capita),"Population, total",Population growth (annual %),"Population, female (% of total)","Population, male (% of total)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (national estimate)","Air transport, passengers carried","Air transport, freight (million ton-km)","Air transport, registered carrier departures worldwide","International tourism, number of arrivals","International tourism, number of departures","International tourism, receipts (current US$)","International tourism, expenditures (current US$)","International tourism, expenditures (% of total imports)","International tourism, receipts (% of total exports)",Exports of goods and services (% of GDP),Exports of goods and services (annual % growth),Exports of goods and services (current US$),Imports of goods and services (% of GDP),Imports of goods and services (annual % growth),Imports of goods and services (current US$),Renewable internal freshwater resources per capita (cubic meters),"Improved water source, rural (% of rural population with access)",Improved water source (% of population with access),Improved sanitation facilities (% of population with access),"Improved sanitation facilities, rural (% of rural population with access)",Mobile cellular subscriptions,Mobile cellular subscriptions (per 100 people),Fixed broadband subscriptions,Fixed broadband subscriptions (per 100 people),Individuals using the Internet (% of population),Secure Internet servers (per 1 million people),Researchers in R&D (per million people),"Patent applications, residents","Patent applications, nonresidents",Rail lines (total route-km),"Railways, goods transported (million ton-km)","Railways, passengers carried (million passenger-km)",Urban population (% of total),Urban population growth (annual %),Oil rents (% of GDP)
Bahrain,BHR,ClusterA_1990,ClusterA_2015,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,0.5886398,24.28725606,42.96423346,879973.037,1.329200006,0.5886398,66627016.84,21660.38712,42.96423346,8050994215,24.28725606,859003.88,4.030249057,40.57033088,59.42966912,1.329200006,3.58874999,2574634.775,229.8845207,31149.57707,6361190.48,0,1354950000,573500000,6.783480817,11.639996,83.51892741,5.764955407,13033326483,69.80187166,9.50890238,10469322842,4.957069178,98.42307692,98.42307692,99.13846154,99.13461538,787159.77,69.60309871,131652.13,10.46738126,35.20091634,84.24422006,361.9863,4.2,147,0,0,0,88.44442308,4.066200528,3.394108796
Bangladesh,BGD,ClusterD_1990,ClusterC_2015,D_1990-C_2015,DC,0,0,0,0,0,0,0,0,0,1,0,21.96477435,0.267144377,24.63119286,136890951.7,3.81236002,21.96477435,14393076900,468.425514,24.63119286,18700676647,0.267144377,135888620.6,1.70046696,49.12883057,50.87116943,3.81236002,3.62000009,1625959.473,140.5166287,17979.66229,213250,1466157.89,78495238.1,556857142.9,3.101716248,0.631117589,13.37749647,14.28847704,11864234137,19.1977406,12.09060972,16633716322,767.8425474,75.93461538,77.76153846,47.89230769,46.73461538,30347949.62,19.66684549,1267263.89,0.802234495,2.875796264,0.3571352,0,47.81,210.69,2788.6876,783.0857083,4924.48,25.9475,3.903606441,0.000800909
Barbados,BRB,ClusterB_1990,ClusterB_2015,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,2.454889468,4.517667012,16.52466461,272624.5556,12.89520014,2.454889468,63702453.94,15125,16.52466461,459032996.5,4.517667012,272148.73,0.350550735,51.96279483,48.03720517,12.89520014,12.29307697,0,0.400000006,700,526285.71,0,891842105.3,179526315.8,9.851248628,54.69679865,42.03759972,3.07418681,1410784402,45.57747756,3.485376096,1577743905,292.6007893,97.99230769,97.99230769,88.41538462,88.41538462,149915.19,53.68726488,53142.31,18.93724976,38.94241909,268.5080362,0,2,72.25,0,0,0,32.79719231,0.145770308,0.240463267
Belarus,BLR,ClusterB_1990,ClusterB_2015,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,13.04553744,6.283098855,41.09636536,9820828.741,0.664840008,13.04553744,3209146655,8151.753948,41.09636536,11984380597,6.283098855,9832894.46,-0.266323315,53.26170735,46.73829265,0.664840008,1.616199985,564758.913,1.867303998,13786.17391,123504.76,739333.33,471666666.7,591857142.9,2.753006907,2.054129398,59.99746313,2.372043701,19989335960,64.06840837,2.58599534,21232048561,3478.701575,99.04230769,99.55384615,94.73076923,96.60384615,4021865,42.53185449,1173155.64,12.50253861,20.04706788,13.1282227,0,1101.09,294.39,5510,41878.26923,12460.24,71.24023077,0.334155322,0.911426271
Belgium,BEL,ClusterA_1990,ClusterA_2015,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,1.051288819,10.39100746,25.38495309,10519764.52,7.97239996,1.051288819,3378794556,55836.73149,25.38495309,85044920916,10.39100746,10487903.19,0.485312581,50.97822757,49.02177243,7.97239996,7.945384521,6140022.319,852.3910508,150372.3693,6854095.24,8432500,9784190476,15691238095,5.700487102,3.499781189,69.97948232,4.20662187,2.56167E+11,67.28860006,4.092866217,2.4743E+11,1135.472066,100,100,99.5,99.46923077,6701624.88,62.32976803,2234115.22,20.54832293,40.30718183,394.8361429,3372.076652,658.77,259.88,3494.346154,7951.16,8625.15,97.21142308,0.547359705,0
Belize,BLZ,ClusterB_1990,ClusterB_2015,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,16.13356884,1.639380029,20.05822505,270211.3704,10.83708009,16.13356884,135787094.2,4681.514339,20.05822505,174872907.7,1.639380029,266490.5,2.584917613,49.77813123,50.22186877,10.83708009,11.43166673,516326.5939,1.144960717,69155.3935,226095.24,0,206809523.8,42190476.19,6.569435955,30.62165861,55.12234594,5.188484801,572609609.6,61.09796818,4.940220468,632152692.3,57573.5421,82.57692308,87.78461538,84.10384615,82.01153846,79336.65,26.19865947,8128.15,2.609914971,17.63615651,250.9034121,0,1,38.6,0,0,0,46.37907692,2.275655352,3.005176952
Benin,BEN,ClusterD_1990,ClusterD_2015,D_1990-D_2015,DD,0,0,0,0,0,0,0,0,0,0,1,29.11198215,0.342311613,22.6281444,7668311.296,0.990079987,29.11198215,1134668683,837.9653499,22.6281444,989100116.8,0.342311613,7545081.04,3.022328834,50.6487387,49.3512613,0.990079987,1.079999983,75498.57657,9.719168079,1251.998586,168666.67,0,128519047.6,63938095.24,4.620889476,12.27292597,23.34641134,9.846309493,1086092511,33.8323972,7.932840445,1594075511,1376.927089,60.93076923,68.05,13.3,4.223076923,2474332.12,25.03790069,21250.07,0.20906743,2.203657244,0.820399383,0,0,0,758,36,0,39.26319231,4.040272064,0.204216682
Bermuda,BMU,ClusterA_1990,ClusterA_2015,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,0.804278489,8.706880921,9.031897626,62657.48148,8,0.804278489,35212444.61,35932.99469,9.031897626,385865508.7,8.706880921,62554.65,0.398875517,0,0,0,6.286666473,0,0,0,288571.43,160750,441761904.8,342357142.9,19.28790153,31.15513368,47.12778129,0,2658904800,29.55752163,0,1668557800,0,0,0,0,0,37004.44,57.39569494,32201.67,50.21370147,59.49097727,3482.767375,0,0,0,0,0,0,100,0.39675863,0
Bhutan,BTN,ClusterC_1990,ClusterB_2015,C_1990-B_2015,CB,0,0,0,0,0,1,0,0,0,0,0,25.29701888,0.648744161,37.27871153,634087.4815,2.562559981,25.29701888,173967566.6,1080.915586,37.27871153,337752621.6,0.648744161,627792.19,1.520603091,48.00041838,51.99958162,2.562559981,2.900833329,74294.33609,0.352241308,2295.954604,37276.19,0,41428571.43,47400000,5.091908485,11.95494026,35.94317381,9.177974887,330556609.8,52.59463174,8.607119042,497125578.3,130514.7472,82.9,86.57307692,34.94615385,23.86923077,160203.54,21.76025927,14680.75,1.953826356,9.59879265,9.357785119,0,3,2.5,0,0,0,27.80442308,4.998430619,0
Bolivia,BOL,ClusterC_1990,ClusterB_2015,C_1990-B_2015,CB,0,0,0,0,0,1,0,0,0,0,0,14.83512664,1.332899115,33.45028944,8826811.778,4.295640039,14.83512664,1501758661,1051.756458,33.45028944,3694524993,1.332899115,8747539.85,1.79618705,49.87307246,50.12692754,4.295640039,4.810952357,1837028.756,18.64750366,26427.61166,528904.76,477952.38,320380952.4,325238095.2,6.718036817,7.603319944,29.80514426,5.903436546,4621073637,31.1107249,6.145841664,4487471234,34451.87821,58.67692308,80.34615385,39.87692308,19.61538462,3169705.15,30.97063813,75129.29,0.720463032,11.95762442,6.106863855,110.6023557,20,137.75,2866,1058.5,304,62.80169231,2.671211816,2.945169463
Bosnia and Herzegovina,BIH,ClusterB_1990,ClusterB_2015,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,12.92299841,3.971537676,26.82952285,3814797.556,23.36908012,12.92299841,864883409.9,27940.82289,26.82952285,2369221335,3.971537676,3826258.38,-0.932960131,50.85440458,49.14559542,23.36908012,26.27181833,49941.47794,0.232785795,2175.834631,294000,0,567888888.9,185222222.2,2.403581667,15.97978916,28.56942245,5.176187835,3265280234,68.94932327,2.522307373,6667152318,9388.204569,97.27692308,98.12692308,94.87727273,92.45909091,1395706.42,36.26478649,225715.81,5.884379539,23.73823571,16.07167297,168.9782733,39.77,137.15,1036.634375,765.577,141.31,39.34311538,-0.84966041,0
Botswana,BWA,ClusterC_1990,ClusterC_2015,C_1990-C_2015,CC,0,0,0,0,0,0,1,0,0,0,0,3.303707897,2.114781227,45.49479868,1809176.222,18.50968006,3.303707897,227365391.9,912.6601619,45.49479868,3251516629,2.114781227,1792211.46,1.924000475,50.66273038,49.33726962,18.50968006,19.0822223,192534.2348,0.385743758,6576.826655,1340800,0,493366666.7,220001428.6,5.859538767,9.575634558,51.07461282,5.13816923,4318750775,45.59319966,5.840545963,4027396180,1328.58112,89.77692308,94.79230769,53.31538462,33.77692308,1013009.69,51.21327314,15536.73,0.773741214,7.778841501,6.865486479,170.20462,4.5,5.75,888,674,94,52.77842308,3.448289743,0
Brazil,BRA,ClusterB_1990,ClusterB_2015,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,6.014005115,1.86090479,28.74087616,180812509.9,10.82771999,6.014005115,54983415547,5990.013642,28.74087616,2.69302E+11,1.86090479,179780188.6,1.305219958,50.62206829,49.37793171,10.82771999,8.04583325,45650473.77,1481.433709,636655.4231,4776333.33,4985190.48,3938952381,11512428571,6.917004823,2.654069411,11.18777918,5.666423907,1.32317E+11,11.39640043,8.310675242,1.40006E+11,31236.42606,77.7,94,75.67307692,41.66923077,90258202.04,46.29619297,9088793.28,4.608563544,19.45069091,34.06433496,553.2611382,3524.27,14377.12,18607.27778,196220.2609,7071.88,81.119,1.91421757,1.184523711
Brunei,BRN,ClusterA_1990,ClusterA_2015,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,0.980292743,17.8216026,63.53799599,347287.1111,2.936360025,0.980292743,78616717.54,72181.11811,63.53799599,5978961547,17.8216026,344367.54,1.9495634,48.43295421,51.56704579,2.936360025,1.720000029,913740.6154,111.4344232,11101.5385,189500,0,163384615.4,472538461.5,13.63456682,2.30099169,64.39200935,0.194372782,5972945644,39.77497747,4.557353228,3230440495,24559.26935,0,0,0,0,211087.12,54.46318358,15823.6,3.931263791,31.8971645,67.68416521,285.0466767,22,40.1,0,0,0,72.07734615,2.603568037,18.37069055
Bulgaria,BGR,ClusterB_1990,ClusterB_2015,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,10.43557865,6.334827757,30.06803324,7868547.185,13.13696005,10.43557865,2018623785,13322.09146,30.06803324,7465132087,6.334827757,7897036.62,-0.81708065,51.19954208,48.80045792,13.13696005,12.57269229,791908.2692,9.648992637,13069.96154,4731000,3700190.48,2723571429,1254238095,7.337535572,15.50661677,47.50840052,0.772450787,14945545009,51.81488151,1.547117541,16637082396,2704.921521,99.35384615,99.67692308,85.71153846,83.32307692,4600844.08,61.95055692,938141.83,12.82889252,22.32336319,71.12579928,1473.508737,284.38,286.5,4175.038462,5657.961538,3469.77,69.96357692,-0.381783119,0.025907189
Burkina Faso,BFA,ClusterD_1990,ClusterD_2015,D_1990-D_2015,DD,0,0,0,0,0,0,0,0,0,0,1,35.15913713,0.097826916,20.83427022,13053546.48,2.919360008,35.15913713,1797974500,368.2218985,20.83427022,1076407823,0.097826916,12838435.46,2.873405552,50.72774478,49.27225522,2.919360008,2.918333292,109903.8737,7.173494797,2590.471955,196142.86,0,83333333.33,97733333.33,4.729466992,6.82548809,13.84168124,9.560005281,950049532.1,27.44517885,7.369086091,1700573443,979.252388,58.63076923,64.18076923,13.26538462,4.469230769,2798479.69,16.99857515,7074.43,0.044664422,2.107223553,0.381979698,47.495,2,0,622,1,0,20.40757692,5.908563638,0
Burundi,BDI,ClusterD_1990,ClusterD_2015,D_1990-D_2015,DD,0,0,0,0,0,0,0,0,0,0,1,45.9601761,0.033080038,17.65249921,7398549.63,1.617559996,45.9601761,574811719.5,279.5237539,17.65249921,228369881.3,0.033080038,7278335.5,2.532251946,51.00168093,48.99831907,1.617559996,7.239999995,9566.666667,0,1033.333333,117142.86,26714.29,2128878.43,44095238.1,10.36468796,2.112015543,7.974764041,7.480022576,113418135.2,28.31986325,15.13724795,439987158.9,1379.781078,70.51538462,72.49230769,44.95769231,45.63076923,725463.42,7.309279535,1093,0.01059546,0.590993078,0.276722086,0,1,2.5,0,0,0,8.927884615,5.186418471,0
Cambodia,KHM,ClusterD_1990,ClusterC_2015,D_1990-C_2015,DC,0,0,0,0,0,0,0,0,0,1,0,37.98661958,0.221469637,22.75271917,12639692.41,0.984919995,37.98661958,2521416996,659.0479139,22.75271917,1755057641,0.221469637,12519589.42,2.230391416,51.41077553,48.58922447,0.984919995,1.554615416,403971.9578,1.557003536,6492.34039,1754952.38,434857.14,1196238095,188476190.5,2.901552942,21.49483434,49.832788,19.08483776,4251630917,58.97852222,15.05641281,4783797810,9605.459802,43.49230769,47.51923077,20.92692308,13.78461538,4645463.23,31.21295196,23561.14,0.157672229,2.619089338,1.494008833,23.918515,1.5,45.11,604.0714286,38.71354545,49.6,18.60496154,3.41972,0
Cameroon,CMR,ClusterC_1990,ClusterD_2015,C_1990-D_2015,CD,0,0,0,0,0,0,0,1,0,0,0,23.10417125,0.25901971,30.6180499,16933691.44,5.181680098,23.10417125,3558218242,1113.223645,30.6180499,4699594295,0.25901971,16683480,2.68117404,50.12610377,49.87389623,5.181680098,5.386000156,311104.2018,24.3553334,6533.064923,612444.44,0,252523809.5,410047619.1,8.277211839,5.255452679,20.69616452,2.691643637,3408078351,21.4621079,6.807327397,3875650996,16385.02118,43.85384615,64.20769231,42.83846154,26.71923077,4227527.38,19.86528628,7516.73,0.034040814,3.994960629,0.810212724,0,0,0,1007.74,927.3316667,378.83,47.03869231,3.951761331,5.534103191
Canada,CAN,ClusterA_1990,ClusterA_2015,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,1.631591515,16.20065685,29.32261158,31838919.3,8.048000031,1.631591515,25182335663,72164.27589,29.38528241,4.49928E+11,16.20065685,31667861.38,1.036648067,50.43510299,49.56489701,8.048000031,8.050769219,40984967.53,1666.210195,785231.6445,17771619.05,23679952.38,15226761905,25062952381,6.268780962,3.883128334,33.97746674,4.013660187,3.53633E+11,32.53534686,4.478161211,3.44639E+11,89116.3699,99,99.8,99.8,99,13728094.85,41.18495339,7452811.89,22.03009147,49.14191705,879.9666755,4020.514968,4000.92,30350.54,55423.7,240436.1371,2454,79.46146154,1.292488937,1.299264511
Cape Verde,CPV,ClusterC_1990,ClusterB_2015,C_1990-B_2015,CB,0,0,0,0,0,1,0,0,0,0,0,9.967068371,0.658497831,20.06375936,450792.7407,10.89740005,9.967068371,94539330.24,2886.368408,20.06375936,192922145.7,0.658497831,447378.62,1.783379035,51.28762308,48.71237692,10.89740005,16.83500004,402881.0135,1.080846779,11012.55,235857.14,0,236666666.7,88333333.33,12.04281401,51.99712534,28.67766181,4.001932425,317658417.8,62.08301286,-1.306240172,596416081.2,667.3772584,82.53333333,84.95833333,51.3125,32.81666667,155489.31,31.54085433,11610.08,2.346905459,14.90858892,19.63178856,94.27769667,0,0,0,0,0,55.304,3.539751168,0
Central African Republic,CAF,ClusterD_1990,ClusterD_2015,D_1990-D_2015,DD,0,0,0,0,0,0,0,0,0,0,1,51.31198331,0.064899108,16.16185505,3908753.296,6.719360027,51.31198331,676254537.7,666.1346294,16.16185505,209566104,0.064899108,3882373.77,1.765494261,50.76132597,49.23867403,6.719360027,0,82253.08333,17,1794.5,35000,12500,8068421.05,47726315.79,0,0,16.47881144,-3.945563941,215405920.2,24.90615836,8.875309572,347960182.5,36219.89615,50.55384615,63.64230769,18.10384615,9.323076923,345911.23,7.730909684,771.67,0.016788772,1.070452527,0.226290131,0,0,0,0,0,0,38.03876923,2.095606458,0
Chad,TCD,ClusterD_1990,ClusterD_2015,D_1990-D_2015,DD,0,0,0,0,0,0,0,0,0,0,1,43.73986657,0.030433546,14.76966652,9642126.37,5.724719963,43.73986657,2675367395,1827.982991,14.76966652,754446935.8,0.030433546,9457110.35,3.413035197,50.13605582,49.86394418,5.724719963,0,73350.79998,5.151091253,1319.148909,82940,62363.64,22375000,56375000,0,0,27.3197639,12.26172773,1930880971,40.63480403,5.778027459,2286566124,1618.128194,41.43461538,45.88461538,10.15384615,5.538461538,1228742.73,9.929049815,10291.14,0.081006318,1.003185796,0.180765887,0,0,0,0,0,0,21.71761538,3.747025327,23.12200393
